#Van rod SEPD bank 3                     
#  h   k   l     d-sp      tof       alpha       beta       sigma2     gamma2   m*|F2|   
   4   4   2    0.5044   1982.29    0.30000    0.20000      1.00000    0.00000 .2968800E-01     0.5044    37.1111   1.0000
   4   3   3    0.5191   2040.06    0.30000    0.20000      1.00000    0.00000 .6470400E-01     0.5191    37.1111   1.0000
   4   4   0    0.5350   2102.55    0.30000    0.20000      1.00000    0.00000 .1764000E-01     0.5350    37.1111   1.0000
   5   2   1    0.5526   2171.72    0.30000    0.20000      1.00000    0.00000 .7689600E-01     0.5526    37.1111   1.0000
   5   1   0    0.5936   2332.85    0.30000    0.20000      1.00000    0.00000 .1370880         0.5936    37.1111   1.0000
   4   2   2    0.6178   2427.95    0.30000    0.20000      1.00000    0.00000 .4980000E-01     0.6178    37.1111   1.0000
   3   3   2    0.6453   2527.62    0.38976    0.14450     56.10867    0.00000 .1468325         0.6453   110.5835   1.0000
   4   2   0    0.6768   2651.41    0.39157    0.14263     61.72952    0.00000 .6238642E-01     0.6768   117.4077   1.0000
   3   3   0    0.7134   2795.29    0.39370    0.14052     68.60193    0.00000 .1223563         0.7134   125.6971   1.0000
   4   0   0    0.7566   2965.38    0.39624    0.13810     77.19624    0.00000 .1346045         0.7566   135.9994   1.0000
   3   2   1    0.8089   3170.72    0.39937    0.13529     88.25230    0.00000 .9796586E-01     0.8089   149.1567   1.0000
   2   2   2    0.8737   3425.45    0.40352    0.13192    103.00461    0.00000 .7810333E-01     0.8737   166.6078   0.9998
   3   1   0    0.9571   3753.20    0.41072    0.12743    123.67876    0.00000 .2079454E-01     0.9571   191.1892   0.9971
   2   2   0    1.0701   4197.19    0.43066    0.11879    154.73579    0.00000 .5105995E-01     1.0701   230.9939   0.9742
   2   1   1    1.2356   4848.15    0.47729    0.09661    206.61957    0.00000 .1151049         1.2356   318.1503   0.8471
   2   0   0    1.5133   5942.52    0.41429    0.06369    310.84482    0.00000 .7135902E-01     1.5133   563.1941   0.4720
   1   1   0    2.1401   8413.09    0.20916    0.04481    627.18274    0.00000 .4254445E-01     2.1401  1148.0647   0.0673
